solarYMD,lunarYMD
1697-08-06,1697-06-20
1697-08-07,1697-06-21
1697-08-08,1697-06-22
1697-08-09,1697-06-23
1697-08-10,1697-06-24
1697-08-11,1697-06-25
1697-08-12,1697-06-26
1697-08-13,1697-06-27
1697-08-14,1697-06-28
1697-08-15,1697-06-29
1697-08-16,1697-06-30
1697-08-17,1697-07-01
1697-08-18,1697-07-02
1697-08-19,1697-07-03
1697-08-20,1697-07-04
1697-08-21,1697-07-05
1697-08-22,1697-07-06
1697-08-23,1697-07-07
1697-08-24,1697-07-08
1697-08-25,1697-07-09
1697-08-26,1697-07-10
1697-08-27,1697-07-11
1697-08-28,1697-07-12
1697-08-29,1697-07-13
1697-08-30,1697-07-14
1697-08-31,1697-07-15
1697-09-01,1697-07-16
1697-09-02,1697-07-17
1697-09-03,1697-07-18
1697-09-04,1697-07-19
1697-09-05,1697-07-20
1697-09-06,1697-07-21
1697-09-07,1697-07-22
1697-09-08,1697-07-23
1697-09-09,1697-07-24
1697-09-10,1697-07-25
1697-09-11,1697-07-26
1697-09-12,1697-07-27
1697-09-13,1697-07-28
1697-09-14,1697-07-29
1697-09-15,1697-08-01
1697-09-16,1697-08-02
1697-09-17,1697-08-03
1697-09-18,1697-08-04
1697-09-19,1697-08-05
1697-09-20,1697-08-06
1697-09-21,1697-08-07
1697-09-22,1697-08-08
1697-09-23,1697-08-09
1697-09-24,1697-08-10
1697-09-25,1697-08-11
1697-09-26,1697-08-12
1697-09-27,1697-08-13
1697-09-28,1697-08-14
1697-09-29,1697-08-15
1697-09-30,1697-08-16
1697-10-01,1697-08-17
1697-10-02,1697-08-18
1697-10-03,1697-08-19
1697-10-04,1697-08-20
1697-10-05,1697-08-21
1697-10-06,1697-08-22
1697-10-07,1697-08-23
1697-10-08,1697-08-24
1697-10-09,1697-08-25
1697-10-10,1697-08-26
1697-10-11,1697-08-27
1697-10-12,1697-08-28
1697-10-13,1697-08-29
1697-10-14,1697-08-30
1697-10-15,1697-09-01
1697-10-16,1697-09-02
1697-10-17,1697-09-03
1697-10-18,1697-09-04
1697-10-19,1697-09-05
1697-10-20,1697-09-06
1697-10-21,1697-09-07
1697-10-22,1697-09-08
1697-10-23,1697-09-09
1697-10-24,1697-09-10
1697-10-25,1697-09-11
1697-10-26,1697-09-12
1697-10-27,1697-09-13
1697-10-28,1697-09-14
1697-10-29,1697-09-15
1697-10-30,1697-09-16
1697-10-31,1697-09-17
1697-11-01,1697-09-18
1697-11-02,1697-09-19
1697-11-03,1697-09-20
1697-11-04,1697-09-21
1697-11-05,1697-09-22
1697-11-06,1697-09-23
1697-11-07,1697-09-24
1697-11-08,1697-09-25
1697-11-09,1697-09-26
1697-11-10,1697-09-27
1697-11-11,1697-09-28
1697-11-12,1697-09-29
1697-11-13,1697-09-30
1697-11-14,1697-10-01
1697-11-15,1697-10-02
1697-11-16,1697-10-03
1697-11-17,1697-10-04
1697-11-18,1697-10-05
1697-11-19,1697-10-06
1697-11-20,1697-10-07
1697-11-21,1697-10-08
1697-11-22,1697-10-09
1697-11-23,1697-10-10
1697-11-24,1697-10-11
1697-11-25,1697-10-12
1697-11-26,1697-10-13
1697-11-27,1697-10-14
1697-11-28,1697-10-15
1697-11-29,1697-10-16
1697-11-30,1697-10-17
1697-12-01,1697-10-18
1697-12-02,1697-10-19
1697-12-03,1697-10-20
1697-12-04,1697-10-21
1697-12-05,1697-10-22
1697-12-06,1697-10-23
1697-12-07,1697-10-24
1697-12-08,1697-10-25
1697-12-09,1697-10-26
1697-12-10,1697-10-27
1697-12-11,1697-10-28
1697-12-12,1697-10-29
1697-12-13,1697-11-01
1697-12-14,1697-11-02
1697-12-15,1697-11-03
1697-12-16,1697-11-04
1697-12-17,1697-11-05
1697-12-18,1697-11-06
1697-12-19,1697-11-07
1697-12-20,1697-11-08
1697-12-21,1697-11-09
1697-12-22,1697-11-10
1697-12-23,1697-11-11
1697-12-24,1697-11-12
1697-12-25,1697-11-13
1697-12-26,1697-11-14
1697-12-27,1697-11-15
1697-12-28,1697-11-16
1697-12-29,1697-11-17
1697-12-30,1697-11-18
1697-12-31,1697-11-19
1698-01-01,1697-11-20
1698-01-02,1697-11-21
1698-01-03,1697-11-22
1698-01-04,1697-11-23
1698-01-05,1697-11-24
1698-01-06,1697-11-25
1698-01-07,1697-11-26
1698-01-08,1697-11-27
1698-01-09,1697-11-28
1698-01-10,1697-11-29
1698-01-11,1697-11-30
1698-01-12,1697-12-01
1698-01-13,1697-12-02
1698-01-14,1697-12-03
1698-01-15,1697-12-04
1698-01-16,1697-12-05
1698-01-17,1697-12-06
1698-01-18,1697-12-07
1698-01-19,1697-12-08
1698-01-20,1697-12-09
1698-01-21,1697-12-10
1698-01-22,1697-12-11
1698-01-23,1697-12-12
1698-01-24,1697-12-13
1698-01-25,1697-12-14
1698-01-26,1697-12-15
1698-01-27,1697-12-16
1698-01-28,1697-12-17
1698-01-29,1697-12-18
1698-01-30,1697-12-19
1698-01-31,1697-12-20
1698-02-01,1697-12-21
1698-02-02,1697-12-22
1698-02-03,1697-12-23
1698-02-04,1697-12-24
1698-02-05,1697-12-25
1698-02-06,1697-12-26
1698-02-07,1697-12-27
1698-02-08,1697-12-28
1698-02-09,1697-12-29
1698-02-10,1697-12-30
1698-02-11,1698-01-01
1698-02-12,1698-01-02
1698-02-13,1698-01-03
1698-02-14,1698-01-04
1698-02-15,1698-01-05
1698-02-16,1698-01-06
1698-02-17,1698-01-07
1698-02-18,1698-01-08
1698-02-19,1698-01-09
1698-02-20,1698-01-10
1698-02-21,1698-01-11
1698-02-22,1698-01-12
1698-02-23,1698-01-13
1698-02-24,1698-01-14
1698-02-25,1698-01-15
1698-02-26,1698-01-16
1698-02-27,1698-01-17
1698-02-28,1698-01-18
1698-03-01,1698-01-19
1698-03-02,1698-01-20
1698-03-03,1698-01-21
1698-03-04,1698-01-22
1698-03-05,1698-01-23
1698-03-06,1698-01-24
1698-03-07,1698-01-25
1698-03-08,1698-01-26
1698-03-09,1698-01-27
1698-03-10,1698-01-28
1698-03-11,1698-01-29
1698-03-12,1698-02-01
1698-03-13,1698-02-02
1698-03-14,1698-02-03
1698-03-15,1698-02-04
1698-03-16,1698-02-05
1698-03-17,1698-02-06
1698-03-18,1698-02-07
1698-03-19,1698-02-08
1698-03-20,1698-02-09
1698-03-21,1698-02-10
1698-03-22,1698-02-11
1698-03-23,1698-02-12
1698-03-24,1698-02-13
1698-03-25,1698-02-14
1698-03-26,1698-02-15
1698-03-27,1698-02-16
1698-03-28,1698-02-17
1698-03-29,1698-02-18
1698-03-30,1698-02-19
1698-03-31,1698-02-20
1698-04-01,1698-02-21
1698-04-02,1698-02-22
1698-04-03,1698-02-23
1698-04-04,1698-02-24
1698-04-05,1698-02-25
1698-04-06,1698-02-26
1698-04-07,1698-02-27
1698-04-08,1698-02-28
1698-04-09,1698-02-29
1698-04-10,1698-02-30
1698-04-11,1698-03-01
1698-04-12,1698-03-02
1698-04-13,1698-03-03
1698-04-14,1698-03-04
1698-04-15,1698-03-05
1698-04-16,1698-03-06
1698-04-17,1698-03-07
1698-04-18,1698-03-08
1698-04-19,1698-03-09
1698-04-20,1698-03-10
1698-04-21,1698-03-11
1698-04-22,1698-03-12
1698-04-23,1698-03-13
1698-04-24,1698-03-14
1698-04-25,1698-03-15
1698-04-26,1698-03-16
1698-04-27,1698-03-17
1698-04-28,1698-03-18
1698-04-29,1698-03-19
1698-04-30,1698-03-20
1698-05-01,1698-03-21
1698-05-02,1698-03-22
1698-05-03,1698-03-23
1698-05-04,1698-03-24
1698-05-05,1698-03-25
1698-05-06,1698-03-26
1698-05-07,1698-03-27
1698-05-08,1698-03-28
1698-05-09,1698-03-29
1698-05-10,1698-04-01
1698-05-11,1698-04-02
1698-05-12,1698-04-03
1698-05-13,1698-04-04
1698-05-14,1698-04-05
1698-05-15,1698-04-06
1698-05-16,1698-04-07
1698-05-17,1698-04-08
1698-05-18,1698-04-09
1698-05-19,1698-04-10
1698-05-20,1698-04-11
1698-05-21,1698-04-12
1698-05-22,1698-04-13
1698-05-23,1698-04-14
1698-05-24,1698-04-15
1698-05-25,1698-04-16
1698-05-26,1698-04-17
1698-05-27,1698-04-18
1698-05-28,1698-04-19
1698-05-29,1698-04-20
1698-05-30,1698-04-21
1698-05-31,1698-04-22
1698-06-01,1698-04-23
1698-06-02,1698-04-24
1698-06-03,1698-04-25
1698-06-04,1698-04-26
1698-06-05,1698-04-27
1698-06-06,1698-04-28
1698-06-07,1698-04-29
1698-06-08,1698-05-01
1698-06-09,1698-05-02
1698-06-10,1698-05-03
1698-06-11,1698-05-04
1698-06-12,1698-05-05
1698-06-13,1698-05-06
1698-06-14,1698-05-07
1698-06-15,1698-05-08
1698-06-16,1698-05-09
1698-06-17,1698-05-10
1698-06-18,1698-05-11
1698-06-19,1698-05-12
1698-06-20,1698-05-13
1698-06-21,1698-05-14
1698-06-22,1698-05-15
1698-06-23,1698-05-16
1698-06-24,1698-05-17
1698-06-25,1698-05-18
1698-06-26,1698-05-19
1698-06-27,1698-05-20
1698-06-28,1698-05-21
1698-06-29,1698-05-22
1698-06-30,1698-05-23
1698-07-01,1698-05-24
1698-07-02,1698-05-25
1698-07-03,1698-05-26
1698-07-04,1698-05-27
1698-07-05,1698-05-28
1698-07-06,1698-05-29
1698-07-07,1698-05-30
1698-07-08,1698-06-01
1698-07-09,1698-06-02
1698-07-10,1698-06-03
1698-07-11,1698-06-04
1698-07-12,1698-06-05
1698-07-13,1698-06-06
1698-07-14,1698-06-07
1698-07-15,1698-06-08
1698-07-16,1698-06-09
1698-07-17,1698-06-10
1698-07-18,1698-06-11
1698-07-19,1698-06-12
1698-07-20,1698-06-13
1698-07-21,1698-06-14
1698-07-22,1698-06-15
1698-07-23,1698-06-16
1698-07-24,1698-06-17
1698-07-25,1698-06-18
1698-07-26,1698-06-19
1698-07-27,1698-06-20
1698-07-28,1698-06-21
1698-07-29,1698-06-22
1698-07-30,1698-06-23
1698-07-31,1698-06-24
1698-08-01,1698-06-25
1698-08-02,1698-06-26
1698-08-03,1698-06-27
1698-08-04,1698-06-28
1698-08-05,1698-06-29
1698-08-06,1698-07-01
1698-08-07,1698-07-02
1698-08-08,1698-07-03
1698-08-09,1698-07-04
1698-08-10,1698-07-05
1698-08-11,1698-07-06
1698-08-12,1698-07-07
1698-08-13,1698-07-08
1698-08-14,1698-07-09
1698-08-15,1698-07-10
1698-08-16,1698-07-11
1698-08-17,1698-07-12
1698-08-18,1698-07-13
1698-08-19,1698-07-14
1698-08-20,1698-07-15
1698-08-21,1698-07-16
1698-08-22,1698-07-17
1698-08-23,1698-07-18
1698-08-24,1698-07-19
1698-08-25,1698-07-20
1698-08-26,1698-07-21
1698-08-27,1698-07-22
1698-08-28,1698-07-23
1698-08-29,1698-07-24
1698-08-30,1698-07-25
1698-08-31,1698-07-26
1698-09-01,1698-07-27
1698-09-02,1698-07-28
1698-09-03,1698-07-29
1698-09-04,1698-08-01
1698-09-05,1698-08-02
1698-09-06,1698-08-03
1698-09-07,1698-08-04
1698-09-08,1698-08-05
1698-09-09,1698-08-06
1698-09-10,1698-08-07
1698-09-11,1698-08-08
1698-09-12,1698-08-09
1698-09-13,1698-08-10
1698-09-14,1698-08-11
1698-09-15,1698-08-12
1698-09-16,1698-08-13
1698-09-17,1698-08-14
1698-09-18,1698-08-15
1698-09-19,1698-08-16
1698-09-20,1698-08-17
1698-09-21,1698-08-18
1698-09-22,1698-08-19
1698-09-23,1698-08-20
1698-09-24,1698-08-21
1698-09-25,1698-08-22
1698-09-26,1698-08-23
1698-09-27,1698-08-24
1698-09-28,1698-08-25
1698-09-29,1698-08-26
1698-09-30,1698-08-27
1698-10-01,1698-08-28
1698-10-02,1698-08-29
1698-10-03,1698-08-30
1698-10-04,1698-09-01
1698-10-05,1698-09-02
1698-10-06,1698-09-03
1698-10-07,1698-09-04
1698-10-08,1698-09-05
1698-10-09,1698-09-06
1698-10-10,1698-09-07
1698-10-11,1698-09-08
1698-10-12,1698-09-09
1698-10-13,1698-09-10
1698-10-14,1698-09-11
1698-10-15,1698-09-12
1698-10-16,1698-09-13
1698-10-17,1698-09-14
1698-10-18,1698-09-15
1698-10-19,1698-09-16
1698-10-20,1698-09-17
1698-10-21,1698-09-18
1698-10-22,1698-09-19
1698-10-23,1698-09-20
1698-10-24,1698-09-21
1698-10-25,1698-09-22
1698-10-26,1698-09-23
1698-10-27,1698-09-24
1698-10-28,1698-09-25
1698-10-29,1698-09-26
1698-10-30,1698-09-27
1698-10-31,1698-09-28
1698-11-01,1698-09-29
1698-11-02,1698-09-30
1698-11-03,1698-10-01
1698-11-04,1698-10-02
1698-11-05,1698-10-03
1698-11-06,1698-10-04
1698-11-07,1698-10-05
1698-11-08,1698-10-06
1698-11-09,1698-10-07
1698-11-10,1698-10-08
1698-11-11,1698-10-09
1698-11-12,1698-10-10
1698-11-13,1698-10-11
1698-11-14,1698-10-12
1698-11-15,1698-10-13
1698-11-16,1698-10-14
1698-11-17,1698-10-15
1698-11-18,1698-10-16
1698-11-19,1698-10-17
1698-11-20,1698-10-18
1698-11-21,1698-10-19
1698-11-22,1698-10-20
1698-11-23,1698-10-21
1698-11-24,1698-10-22
1698-11-25,1698-10-23
1698-11-26,1698-10-24
1698-11-27,1698-10-25
1698-11-28,1698-10-26
1698-11-29,1698-10-27
1698-11-30,1698-10-28
1698-12-01,1698-10-29
1698-12-02,1698-11-01
1698-12-03,1698-11-02
1698-12-04,1698-11-03
1698-12-05,1698-11-04
1698-12-06,1698-11-05
1698-12-07,1698-11-06
1698-12-08,1698-11-07
1698-12-09,1698-11-08
1698-12-10,1698-11-09
1698-12-11,1698-11-10
1698-12-12,1698-11-11
1698-12-13,1698-11-12
1698-12-14,1698-11-13
1698-12-15,1698-11-14
1698-12-16,1698-11-15
1698-12-17,1698-11-16
1698-12-18,1698-11-17
1698-12-19,1698-11-18
1698-12-20,1698-11-19
1698-12-21,1698-11-20
1698-12-22,1698-11-21
1698-12-23,1698-11-22
1698-12-24,1698-11-23
1698-12-25,1698-11-24
1698-12-26,1698-11-25
1698-12-27,1698-11-26
1698-12-28,1698-11-27
1698-12-29,1698-11-28
1698-12-30,1698-11-29
1698-12-31,1698-11-30
1699-01-01,1698-12-01
1699-01-02,1698-12-02
1699-01-03,1698-12-03
1699-01-04,1698-12-04
1699-01-05,1698-12-05
1699-01-06,1698-12-06
1699-01-07,1698-12-07
1699-01-08,1698-12-08
1699-01-09,1698-12-09
1699-01-10,1698-12-10
1699-01-11,1698-12-11
1699-01-12,1698-12-12
1699-01-13,1698-12-13
1699-01-14,1698-12-14
1699-01-15,1698-12-15
1699-01-16,1698-12-16
1699-01-17,1698-12-17
1699-01-18,1698-12-18
1699-01-19,1698-12-19
1699-01-20,1698-12-20
1699-01-21,1698-12-21
1699-01-22,1698-12-22
1699-01-23,1698-12-23
1699-01-24,1698-12-24
1699-01-25,1698-12-25
1699-01-26,1698-12-26
1699-01-27,1698-12-27
1699-01-28,1698-12-28
1699-01-29,1698-12-29
1699-01-30,1698-12-30
1699-01-31,1699-01-01
1699-02-01,1699-01-02
1699-02-02,1699-01-03
1699-02-03,1699-01-04
1699-02-04,1699-01-05
1699-02-05,1699-01-06
1699-02-06,1699-01-07
1699-02-07,1699-01-08
1699-02-08,1699-01-09
1699-02-09,1699-01-10
1699-02-10,1699-01-11
1699-02-11,1699-01-12
1699-02-12,1699-01-13
1699-02-13,1699-01-14
1699-02-14,1699-01-15
1699-02-15,1699-01-16
1699-02-16,1699-01-17
1699-02-17,1699-01-18
1699-02-18,1699-01-19
1699-02-19,1699-01-20
1699-02-20,1699-01-21
1699-02-21,1699-01-22
1699-02-22,1699-01-23
1699-02-23,1699-01-24
1699-02-24,1699-01-25
1699-02-25,1699-01-26
1699-02-26,1699-01-27
1699-02-27,1699-01-28
1699-02-28,1699-01-29
1699-03-01,1699-01-30
1699-03-02,1699-02-01
1699-03-03,1699-02-02
1699-03-04,1699-02-03
1699-03-05,1699-02-04
1699-03-06,1699-02-05
1699-03-07,1699-02-06
1699-03-08,1699-02-07
1699-03-09,1699-02-08
1699-03-10,1699-02-09
1699-03-11,1699-02-10
1699-03-12,1699-02-11
1699-03-13,1699-02-12
1699-03-14,1699-02-13
1699-03-15,1699-02-14
1699-03-16,1699-02-15
1699-03-17,1699-02-16
1699-03-18,1699-02-17
1699-03-19,1699-02-18
1699-03-20,1699-02-19
1699-03-21,1699-02-20
1699-03-22,1699-02-21
1699-03-23,1699-02-22
1699-03-24,1699-02-23
1699-03-25,1699-02-24
1699-03-26,1699-02-25
1699-03-27,1699-02-26
1699-03-28,1699-02-27
1699-03-29,1699-02-28
1699-03-30,1699-02-29
1699-03-31,1699-03-01
1699-04-01,1699-03-02
1699-04-02,1699-03-03
1699-04-03,1699-03-04
1699-04-04,1699-03-05
1699-04-05,1699-03-06
1699-04-06,1699-03-07
1699-04-07,1699-03-08
1699-04-08,1699-03-09
1699-04-09,1699-03-10
1699-04-10,1699-03-11
1699-04-11,1699-03-12
1699-04-12,1699-03-13
1699-04-13,1699-03-14
1699-04-14,1699-03-15
1699-04-15,1699-03-16
1699-04-16,1699-03-17
1699-04-17,1699-03-18
1699-04-18,1699-03-19
1699-04-19,1699-03-20
1699-04-20,1699-03-21
1699-04-21,1699-03-22
1699-04-22,1699-03-23
1699-04-23,1699-03-24
1699-04-24,1699-03-25
1699-04-25,1699-03-26
1699-04-26,1699-03-27
1699-04-27,1699-03-28
1699-04-28,1699-03-29
1699-04-29,1699-03-30
1699-04-30,1699-04-01
1699-05-01,1699-04-02
1699-05-02,1699-04-03
1699-05-03,1699-04-04
1699-05-04,1699-04-05
1699-05-05,1699-04-06
1699-05-06,1699-04-07
1699-05-07,1699-04-08
1699-05-08,1699-04-09
1699-05-09,1699-04-10
1699-05-10,1699-04-11
1699-05-11,1699-04-12
1699-05-12,1699-04-13
1699-05-13,1699-04-14
1699-05-14,1699-04-15
1699-05-15,1699-04-16
1699-05-16,1699-04-17
1699-05-17,1699-04-18
1699-05-18,1699-04-19
1699-05-19,1699-04-20
1699-05-20,1699-04-21
1699-05-21,1699-04-22
1699-05-22,1699-04-23
1699-05-23,1699-04-24
1699-05-24,1699-04-25
1699-05-25,1699-04-26
1699-05-26,1699-04-27
1699-05-27,1699-04-28
1699-05-28,1699-04-29
1699-05-29,1699-05-01
1699-05-30,1699-05-02
1699-05-31,1699-05-03
1699-06-01,1699-05-04
1699-06-02,1699-05-05
1699-06-03,1699-05-06
1699-06-04,1699-05-07
1699-06-05,1699-05-08
1699-06-06,1699-05-09
1699-06-07,1699-05-10
1699-06-08,1699-05-11
1699-06-09,1699-05-12
1699-06-10,1699-05-13
1699-06-11,1699-05-14
1699-06-12,1699-05-15
1699-06-13,1699-05-16
1699-06-14,1699-05-17
1699-06-15,1699-05-18
1699-06-16,1699-05-19
1699-06-17,1699-05-20
1699-06-18,1699-05-21
1699-06-19,1699-05-22
1699-06-20,1699-05-23
1699-06-21,1699-05-24
1699-06-22,1699-05-25
1699-06-23,1699-05-26
1699-06-24,1699-05-27
1699-06-25,1699-05-28
1699-06-26,1699-05-29
1699-06-27,1699-06-01
1699-06-28,1699-06-02
1699-06-29,1699-06-03
1699-06-30,1699-06-04
1699-07-01,1699-06-05
1699-07-02,1699-06-06
1699-07-03,1699-06-07
1699-07-04,1699-06-08
1699-07-05,1699-06-09
1699-07-06,1699-06-10
1699-07-07,1699-06-11
1699-07-08,1699-06-12
1699-07-09,1699-06-13
1699-07-10,1699-06-14
1699-07-11,1699-06-15
1699-07-12,1699-06-16
1699-07-13,1699-06-17
1699-07-14,1699-06-18
1699-07-15,1699-06-19
1699-07-16,1699-06-20
1699-07-17,1699-06-21
1699-07-18,1699-06-22
1699-07-19,1699-06-23
1699-07-20,1699-06-24
1699-07-21,1699-06-25
1699-07-22,1699-06-26
1699-07-23,1699-06-27
1699-07-24,1699-06-28
1699-07-25,1699-06-29
1699-07-26,1699-06-30
1699-07-27,1699-07-01
1699-08-25,1699-07-01
1699-07-28,1699-07-02
1699-08-26,1699-07-02
1699-07-29,1699-07-03
1699-08-27,1699-07-03
1699-07-30,1699-07-04
1699-08-28,1699-07-04
1699-07-31,1699-07-05
1699-08-29,1699-07-05
1699-08-01,1699-07-06
1699-08-30,1699-07-06
1699-08-02,1699-07-07
1699-08-31,1699-07-07
1699-08-03,1699-07-08
1699-09-01,1699-07-08
1699-08-04,1699-07-09
1699-09-02,1699-07-09
1699-08-05,1699-07-10
1699-09-03,1699-07-10
1699-08-06,1699-07-11
1699-09-04,1699-07-11
1699-08-07,1699-07-12
1699-09-05,1699-07-12
1699-08-08,1699-07-13
1699-09-06,1699-07-13
1699-08-09,1699-07-14
1699-09-07,1699-07-14
1699-08-10,1699-07-15
1699-09-08,1699-07-15
1699-08-11,1699-07-16
1699-09-09,1699-07-16
1699-08-12,1699-07-17
1699-09-10,1699-07-17
1699-08-13,1699-07-18
1699-09-11,1699-07-18
1699-08-14,1699-07-19
1699-09-12,1699-07-19
1699-08-15,1699-07-20
1699-09-13,1699-07-20
1699-08-16,1699-07-21
1699-09-14,1699-07-21
1699-08-17,1699-07-22
1699-09-15,1699-07-22
1699-08-18,1699-07-23
1699-09-16,1699-07-23
1699-08-19,1699-07-24
1699-09-17,1699-07-24
1699-08-20,1699-07-25
1699-09-18,1699-07-25
1699-08-21,1699-07-26
1699-09-19,1699-07-26
1699-08-22,1699-07-27
1699-09-20,1699-07-27
1699-08-23,1699-07-28
1699-09-21,1699-07-28
1699-08-24,1699-07-29
1699-09-22,1699-07-29
1699-09-23,1699-08-01
1699-09-24,1699-08-02
1699-09-25,1699-08-03
1699-09-26,1699-08-04
1699-09-27,1699-08-05
1699-09-28,1699-08-06
1699-09-29,1699-08-07
1699-09-30,1699-08-08
1699-10-01,1699-08-09
1699-10-02,1699-08-10
1699-10-03,1699-08-11
1699-10-04,1699-08-12
1699-10-05,1699-08-13
1699-10-06,1699-08-14
1699-10-07,1699-08-15
1699-10-08,1699-08-16
1699-10-09,1699-08-17
1699-10-10,1699-08-18
1699-10-11,1699-08-19
1699-10-12,1699-08-20
1699-10-13,1699-08-21
1699-10-14,1699-08-22
1699-10-15,1699-08-23
1699-10-16,1699-08-24
1699-10-17,1699-08-25
1699-10-18,1699-08-26
1699-10-19,1699-08-27
1699-10-20,1699-08-28
1699-10-21,1699-08-29
1699-10-22,1699-08-30
1699-10-23,1699-09-01
1699-10-24,1699-09-02
1699-10-25,1699-09-03
1699-10-26,1699-09-04
1699-10-27,1699-09-05
1699-10-28,1699-09-06
1699-10-29,1699-09-07
1699-10-30,1699-09-08
1699-10-31,1699-09-09
